adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks
0000002178-18-000057	2178	ADAMS RESOURCES & ENERGY, INC.	5172	US	TX	HOUSTON	77027	17 S. BRIAR HOLLOW LN.		713-881-3600	US	TX	HOUSTON	77001	P O BOX 844		US	DE	741753147	ADAMS RESOURCES & ENERGY INC	19920703	2-ACC	0	1231	10-Q	20180630	2018	Q2	20180808	2018-08-08 16:47:00.0	0	1	ae-20180630_htm.xml	1	
0000002488-18-000128	2488	ADVANCED MICRO DEVICES INC	3674	US	CA	SANTA CLARA	95054	2485 AUGUSTINE DRIVE		(408) 749-40	US	CA	SANTA CLARA	95054	2485 AUGUSTINE DRIVE		US	DE	941692300			1-LAF	0	1231	10-Q	20180630	2018	Q2	20180802	2018-08-02 16:29:00.0	0	1	amd-20180630.xml	1	
0000002969-18-000034	2969	AIR PRODUCTS & CHEMICALS INC /DE/	2810	US	PA	ALLENTOWN	18195-1501	7201 HAMILTON BLVD		6104814911	US	PA	ALLENTOWN	18195-1501	7201 HAMILTON BLVD		US	DE	231274455			1-LAF	0	0930	10-Q	20180630	2018	Q3	20180726	2018-07-26 15:25:00.0	0	1	apd-10qx30jun2018_htm.xml	1	
0000003499-18-000018	3499	ALEXANDERS INC	6798	US	NJ	PARAMUS	07652	210 ROUTE 4 EAST		201-587-8541	US	NJ	PARAMUS	07652	210 ROUTE 4 EAST		US	DE	510100517			1-LAF	0	1231	10-Q	20180630	2018	Q2	20180730	2018-07-30 08:24:00.0	0	1	alx-20180630.xml	1	
0000003545-18-000066	3545	ALICO INC	0100	US	FL	FT. MYERS,	33913	10070 DANIELS INTERSTATE COURT STE. 100		239-226-2000	US	FL	FT. MYERS,	33913	10070 DANIELS INTERSTATE COURT STE. 100		US	FL	590906081	ALICO LAND DEVELOPMENT CO	19740219	2-ACC	0	0930	10-Q	20180630	2018	Q3	20180806	2018-08-06 17:03:00.0	0	1	alco-20180630.xml	1	
0000003570-18-000125	3570	CHENIERE ENERGY INC	4924	US	TX	HOUSTON	77002	700 MILAM ST.	SUITE 1900	7133755000	US	TX	HOUSTON	77002	700 MILAM ST.	SUITE 1900	US	DE	954352386	BEXY COMMUNICATIONS INC	19940314	1-LAF	0	1231	10-Q	20180630	2018	Q2	20180809	2018-08-08 17:35:00.0	0	1	lng-20180630.xml	1	
0000004127-18-000032	4127	SKYWORKS SOLUTIONS, INC.	3674	US	MA	WOBURN	01801	20 SYLVAN ROAD		6179355150	US	MA	WOBURN	01801	20 SYLVAN ROAD	20 SYLVAN ROAD	US	DE	042302115	SKYWORKS SOLUTIONS INC	20020627	1-LAF	1	0930	10-Q	20180630	2018	Q3	20180720	2018-07-20 16:04:00.0	0	1	swks-20180629.xml	1	
0000004281-18-000109	4281	ARCONIC INC.	3350	US	NY	NEW YORK	10022-4608	390 PARK AVENUE		2128362732	US	NY	NEW YORK	10022-4608	390 PARK AVENUE		US	DE	250317820	ALCOA INC.	20141003	1-LAF	0	1231	10-Q	20180630	2018	Q2	20180802	2018-08-02 17:13:00.0	0	1	arnc-20180630.xml	1	
0000004457-18-000033	4457	AMERCO /NV/	7510	US	NV	RENO	89511	5555 KIETZKE LANE STE 100		7756886300	US	NV	RENO	89511	5555 KIETZKE LANE	SUITE 100	US	NV	880106815	AMERCO	19770926	1-LAF	1	0331	10-Q	20180630	2018	Q1	20180808	2018-08-08 16:06:00.0	0	1	uhal-20180630.xml	1	
0000004904-18-000039	4904	AMERICAN ELECTRIC POWER CO INC	4911	US	OH	COLUMBUS	43215	1 RIVERSIDE PLAZA		614-716-1000	US	OH	COLUMBUS	43215	1 RIVERSIDE PLAZA		US	NY	134922640	KINGSPORT UTILITIES INC	19660906	1-LAF	0	1231	10-Q	20180630	2018	Q2	20180726	2018-07-26 07:28:00.0	0	1	aep-20180630.xml	8	81027 73986 92487 1702494 50172 6879 1721781
0000004962-18-000095	4962	AMERICAN EXPRESS CO	6199	US	NY	NEW YORK	10285	200 VESEY STREET	50TH FLOOR	2126402000	US	NY	NEW YORK	10285	200 VESEY STREET	50TH FLOOR	US	NY	134922250			1-LAF	1	1231	10-Q	20180630	2018	Q2	20180724	2018-07-24 16:08:00.0	0	1	axp-20180630.xml	1	
0000004969-18-000018	4969	AMERICAN EXPRESS CREDIT CORP	6153	US	DE	WILMINGTON	19801-2919	ONE CHRISTINA CENTRE 301 N WALNUT STREET	SUITE 1002	3025943350	US	DE	WILMINGTON	19801-2919	ONE CHRISTINA CENTRE 301 N WALNUT STREET	SUITE 1002	US	DE	111988350			4-NON	1	1231	10-Q	20180630	2018	Q2	20180803	2018-08-03 10:41:00.0	0	1	aexc-20180630.xml	1	
0000004977-18-000114	4977	AFLAC INC	6321	US	GA	COLUMBUS	31999	1932 WYNNTON RD		7063233431	US	GA	COLUMBUS	31999	1932 WYNNTON ROAD		US	GA	581167100	AMERICAN FAMILY CORP	19920306	1-LAF	0	1231	10-Q	20180630	2018	Q2	20180803	2018-08-03 17:33:00.0	0	1	afl-20180630.xml	1	
0000005272-18-000037	5272	AMERICAN INTERNATIONAL GROUP INC	6331	US	NY	NEW YORK	10038	175 WATER STREET		2127707000	US	NY	NEW YORK	10038	175 WATER STREET		US	DE	132592361	AMERICAN INTERNATIONAL ENTERPRISES INC	19700507	1-LAF	0	1231	10-Q	20180630	2018	Q2	20180803	2018-08-03 15:07:00.0	0	1	aig-20180630.xml	1	
0000005513-18-000073	5513	UNUM GROUP	6321	US	TN	CHATTANOOGA	37402	1 FOUNTAIN SQUARE		423-294-1011	US	TN	CHATTANOOGA	37402	1 FOUNTAIN SQUARE		US	DE	621598430	UNUMPROVIDENT CORP	19990702	1-LAF	0	1231	10-Q	20180630	2018	Q2	20180731	2018-07-31 11:42:00.0	0	1	unm-20180630.xml	1	
